165,city,"capital
 ancient
 Beautiful"
166,ground,"common
 lost
 open
 Gaining"
167,letter,"quick
 post
 business
 Resignation"
168,evidence,"give
 N + suggests
 presented
 hard
 provide
 strong
 N + shows
 sufficient
 conclusive
 considerable
 supporting
 ample
 circumstantial
 insufficient
 growing
 Indicate"
169,foot,set
170,feet,"bare
 rose (to her N)"
171,boy,"bad
 small
 good
 Big"
172,game,"win
 Final"
173,food,"fresh
 delicious
 Diet"
174,role,"play
 key
 leading
 major
 active
 central
 vital
 starring
 Crucial
take
 traditional
 supporting
 prominent
 passive
 essential
 Minor"
175,practice,"common
 private (doctors)
 medical
 Classroom"
176,bank,collapsed 
177,support ,"strong
 public
 provide
 received
 family
 technical
 giving
 emotional
 Substantial"
178,event,"major
 unlikely
 sporting
 big
 held
 annual
 history
 Final"
179,building,"main
 tall
 House"
180,range,"wide
 long
 full
 offers
 free
 broad
 Vast
Complete"
181,stage,"early
 final
 reached
 retirement
 Further"
182,meeting,"annual
 held
 summit
 emergency
 called
 arranged
 Adjourned"
183,art,"modern
 contemporary
 great
 Ancient"
184,club,"join
 Exclusive"
185,arm,"put (someone's N around)
 upper
 grabbed
 broken
 broke
 raised
 Grasped"
186,history,"family
 Medical"
187,parent,"single
 Elderly"
188,parents,"foster
 adoptive
 working
 Single"
189,land,"housing
 held
 open
 work (verb)
 native
 farming
 Waste"
190,trade,"world
 foreign
 Retail"
191,situation,"current
 present
 improve
 desperate
 remedy
 impossible
 Intolerable"
192,teacher,"former
 primary (school) "
193,record,"world
 set the record
 breaking
 unbeaten
 criminal
 keeping
 poor
 impressive
 held
 Achieved"
194,relation,"bear
 Close"
195,field,visual
196,window,"front
 back
 smashed
 Rear"
197,account,"taken (into)
 Opened"
198,difference,"make
 big
 tell
 little
 see
 significant
 potential
 real
 fundamental
 marked (adj)
 Showed"
199,material,raw
200,materials,building
201,air,"fresh
 open
 clean
 clear
 breathe
 thick
 Heavy"
202,wife,"second
 left + N
 former
 Estranged"
203,project,"whole
 completed
 complete
 ambitious
 Run"
204,sales,"retail
 increased
 record
 Rose
annual
 boost
 total
 direct
 Potential
 expected"
205,relationship,"close
 loving
 special
 working
 lasting
 love
 serious
 direct
 strong
 establish
 developed
 inverse
 causal
 intimate
 to end
 see
 public
 Maintain"
206,light,"bright
 shed
 natural
 low
 throw
 switch (on/off)
 turned (on/off)
 strong
 cast
 flashing
 soft
 cold
 shining
 pale
 full
 fading
 flickering
 Clear"
207,care,"take
 medical
 Primary
private
 home
 nursing
 provide
 family
 Domiciliary"
208,rule,"(as a) general
 golden
 Established"
209,story,"tell
 true
 full
 main
 real
 Big"
210,quality,"high
 good
 top
 poor
 improve
 excellent
 air
 superb
 low
 Total"
211,tax,"increases
 Gross"
212,nature,"human
 N+ calls"
213,structure,family
214,data,"collected
 suggest
 support
 Present"
215,method,"use
payment
 effective
 simple
 alternative
 traditional
 adopted
 applied
 preferred
 Provide"
216,unit,"family
 Hospital"
217,bed,"get (into/out of/off the N)
 lying
 double
 (four) poster
 go
 single
 Make"
218,union,join
219,movement,rights N
220,detail,"greater
 (in) fine
 considerable
 sufficient
 Further"
221,details,"further
 full
 give
 Provide"
222,model,"following (verb)
 developed
 Top"
223,computer,"running
 Using"
224,hospital,"general
 (to be) admitted (to N)
 mental
 go
 Transferred"
225,chapter,"discussed
 previous
 contains
 examines
 preceding
 Covered"
226,scheme,"training
 launched
 successful
 designed
 devised "
227,theory,critical
228,property,"private
 commercial
 land
 owned
 (to) purchase"
229,officer,"chief
 army
 Prison"
230,charge,"free (of)
 take
 extra
 additional
 initial
 minimum
 made
 put (in/on)
 Fixed"
231,charges,bank
232,director,"general
 film
 appointed
 Theatre"
233,approach,"cautious
 adopted
 taken
 alternative
 made
 fresh
 radical
 Effective"
234,chance,"have
 get
 given
 stand a N
 take
 great
 second
 little
 missed
 offered
 big
 fair
 came
 reasonable
 jumped (at the N) "
235,application,"complete
 Made"
236,amount,"certain
 small
 enormous
 huge
 fair
 tremendous
 large
 considerable
 minimum
 full
 reasonable
 maximum
 Substantial
increased
 Outstanding"
237,son,"eldest
 baby
 oldest
 Illegitimate"
238,operation,"rescue
 police
 major
 successful
 performed
 underwent
 military
 Emergency"
239,opportunity,"given
 equal
 take
 provide
 unique
 golden
 missed
 perfect
 offered
 rare
 ideal
 seize
 the N presented itself
 excellent
 ample
 real
 Arose"
240,leader,opposition 
241,look,"take
 have
 quick
 closer
 hard
gave
 shot
 (take a ) fresh N (at)"
242,production,"increase
 stage
 Theatre"
243,picture,"exclusive
 complete
 taken
 shows
 clear
 overall
 N + emerges
 accurate
 mental
 presented
 similar
 Full"
244,source,"major
 single
 primary
 valuable
 constant
 Principal"
245,security,"top
 maximum
 Increase"
246,contract,"signed
 expires
 won
 awarded
 agreed
 binding
 Terminate"
247,agreement,"reached
 signed
 peace
 (free) trade
 co-operation
 nodded (in) N
 concluded
 Ceasefire
entered (into)
 come
 draft
 mutual
 final
 N + provided (for)
 broad
 failed (to reach N)
 end
 make
 (in) full
 voluntary
 binding
 common
 Complete"
248,site,"( a + number) acre + N
 caravan
 archaeological
 suitable
 Construction"
249,labour,"female
 Temporary"
250,test,"fitness
 passed
 final
 failed
 have
 put (to the N)
 take
 showed
 pilot
 Standard"
251,loss,"weight
 memory
 suffered
 hair
 caused
 total
 made N
 reported
 blood
 hearing
 Great
job
 lead (to N)
 consequential
 felt
 considerable
 cover (the N)
 substantial
 serious
 severe
 incurred
 major
 Complete"
252,colour,"full
 add
 light
 dark
 bright
 pale
 give
 high
 Strong"
253,shop,"gift
 pet
 run
 antique
 video
 High (Street)
 Souvenir"
254,benefit,"housing
 get
 maximum
 marginal
 claim
 receive
 Invalidity"
255,benefits,enjoy
256,animal,wild
257,heart,"broken
 Beating
pounding (adj)
 suffered
 stopping
 lies (at the N of)
 thumping
 heavy
 Thudding"
258,election,"general
 won
 held
 following
 lost
 fought
 Forthcoming"
259,elections,"general
 national
 Municipal"
260,purpose,"serve
 sole
 general
 specific
 primary
 useful
 real
 special
 intended
 Dual"
261,standard,"high
 poor
 set
 required
 double
 reasonable
 maintain
 meet
 improve
 low
 minimum
 Acceptable"
262,standards,"safety
 Meet
raise
 Minimum"
263,secretary,"former
 private
 Appointed"
264,date,"closing
 blind
 set
 effective
 due
 fixed
 target
 early
 Agreed"
265,music,"played
 classical
 live
 popular
 traditional
 loud
 contemporary
 make
 written
 Composed"
266,hair,"blonde
 blond
 curly
 thick
 dyed
 facial
 fair
 cropped
 dye
 straight
 wash
 brushed
 soft
 permed
 ginger
 Auburn"
267,factor,"major
 key
 risk
 significant
 crucial
 determining
 contributory
 deciding
 limiting
 time
 common
 critical
 contributing
 decisive
 vital
 N + influencing
 cost
 human
 additional "
268,pattern,"follow
 set
 established
 regular
 shows
 complex
 common
 Repeated"
269,front,house
270,evening,"early
 Late
 spent"
271,population,"civilian
 large
 entire
 total
 whole
 Overall"
272,plant,"processing
 Reprocessing"
273,pressure,"put N on
 high
 increasing
 (peer) group
 intense
 enormous
 growing
 low
 applied
 came (under N)
 considerable
 exerted
 take N off
 strong
 constant
 heavy
 Severe"
274,response,"immediate
 positive
 sexual
 public
 initial
 poor
 emotional
 given
 rapid
 Quick"
275,street,"side
 walking (up/down the N)
 Busy"
276,performance,"strong
 poor
 improve
 outstanding
 live
 impressive
 Give"
277,knowledge,"common
 prior
 acquired
 required
 Background
expert
 N + gained
 full
 working
 special
 true
 professional
 intimate
 specific
 Wide"
278,design,"interior
 garden
 original
 art
 Research"
279,page,"blank
 turn
 printed
 (on the) opposite
 Previous"
280,rest,"spend (the)
 have
 get
 take
 Give"
281,basis,"regular
 daily
 (on a) day(-to-day)
 form
 weekly
 individual
 provide
 permanent
 annual
 temporary
 voluntary
 monthly
 firm
 Casual"
282,size,"small
 full
 large
 fits
 increase
 half (the N)
 standard
 average
 medium
 Reduce"
283,environment,"natural
 protect
 safe
 work
 home
 damage
 improve
 stable
 hostile
 healthy "
284,fire,"opened N on
 set N to / obj on N
 caught
 friendly
 started
 (fire) burning
 N + broke (out)
 light (verb)
 caused
 make
 spread
 Control"
285,series,"whole
 drama
 comedy
 documentary
 produced
 launched
 final
 successful
 present
 Runs"
286,success,"huge
 achieved
 enjoyed
 make
 considerable
 major
 ensure
 early
 guarantee
 relative
 continuing
 outstanding
 likely
 Immediate"
287,thought,"spare (a N)
 given
 bear
 ( a N )struck
 (a N) occurred
 deep
 careful
 N came (to me/mind)
 serious
 conscious
 Modern"
288,thoughts,"on second
 Interrupted"
289,"list 
","long
 full
 make
 complete
 drawn (up)
 Compiled"
