meet,cost
reduced,cost
reasonable,cost
simple,matter
further,matter
serious,matter
referred,matter
raised,matter
resolved,matter
leading,figure
tall,figure
central,figure
high,figure
public,figure
major,figure
low,figure
increase,figure
released,figures
official,figures
leading,figures
public,figures
particular,type
certain,type
common,type
media,type
shows,research
done,research
suggests,research
further,research
carried,research
conducted,research
future,research
further,education
public,education
major,programme
full,programme
launched,programme
extensive,programme
current,programme
completed,programme
run,programme
ambitious,programme
hang,minute
take,minute
hold,minute
full,minute
right,moment
long,moment
paused,moment
took,moment
brief,moment
precise,moment
beautiful,girl
pretty,girl
early,age
golden,age
retirement,age
maternal,age
reached,age
dark,ages
entertainment,centre
(day) care,centre
take,control
lost,control
have,control
complete,control
total,control
gain,control
regain,control
full,control
keep,control
effective,control
direct,control
exercise,control
tight,control
retain,control
strict,control
overall,control
maintain,control
good N (for money),value
great,value
added,value
total,value
real,value
high,value
equal,value
increase,value
full,value
add,value
true,value
estimated,value
critical,value
fair,value
mental,health
poor,health
medical,health
improve,health
made,decision
final,decision
taken,decision
court,decision
announced,decision
conscious,decision
unanimous,decision
follows,decision
reached,decision
support,decision
came,decision
reversed,decision
use,force
military,force
driving,force
peacekeeping,force
excessive,force
full,force
dominant,force
powerful,force
strong,force
armed,force
brute,force
security,forces
joined,forces
opposition,forces
good,condition
serious,condition
medical,condition
critical,condition
stable,condition
excellent,condition
poor,condition
immaculate,condition
sufficient,condition
deteriorated,condition
perfect,condition
weather,conditions
living,conditions
working,conditions
improve,conditions
appalling,conditions
poor,conditions
satisfied (verb),conditions
favourable,conditions
impose,conditions
prevailing,conditions
adverse,conditions
meet,conditions
fulfilled,conditions
printed,paper
previous,section
final,section
separate,section
further,section
treated,patients
main,road
cross,road
busy,road
major,road
line (the N with people),road
league,table
lay the N,table
whole,church
established,church
bear,mind
keep,mind
open (adj),mind
had,mind
crossed,mind
conscious,mind
came (to/into N),mind
dream,team
national,team
winning,team
N + won,team
led,team
beat,team
support + N,team
previous,experience
practical,experience
gain,experience
learning,experience
relevant,experience
working,experience
extensive,experience
past,experience
direct,experience
valuable,experience
sudden,death
accidental,death
caused,death
tragic,death
criminal,act
passed,act
amended,act
make,sense
strong,sense
real,sense
false,sense
true,sense
trained,staff
support,staff
extra,staff
permanent,staff
qualified,staff
experienced,staff
former,student
foreign,language
use,language
speak,language
modern,language
native,language
official,language
early,morning
late,morning
spent,morning
bright,morning
peace,plan
action,plan
radical,plan
approved,plan
strategic,plan
drawn up,plan
adopted,plan
ambitious,plan
prepare,plan
final,product
make,product
launch+ N,product
competitive,product
create,product
capital,city
ancient,city
beautiful,city
common,ground
lost,ground
open,ground
gaining,ground
quick,letter
post,letter
business,letter
resignation,letter
give,evidence
N + suggests,evidence
presented,evidence
hard,evidence
provide,evidence
strong,evidence
N + shows,evidence
sufficient,evidence
conclusive,evidence
considerable,evidence
supporting,evidence
ample,evidence
circumstantial,evidence
insufficient,evidence
growing,evidence
indicate,evidence
set,foot
bare,feet
rose (to her N),feet
bad,boy
small,boy
good,boy
big,boy
win,game
final,game
fresh,food
delicious,food
diet,food
play,role
key,role
leading,role
major,role
active,role
central,role
vital,role
starring,role
crucial,role
take,role
traditional,role
supporting,role
prominent,role
passive,role
essential,role
minor,role
common,practice
private (doctors),practice
medical,practice
classroom,practice
collapsed,bank
strong,support
public,support
provide,support
received,support
family,support
technical,support
giving,support
emotional,support
substantial,support
major,event
unlikely,event
sporting,event
big,event
held,event
annual,event
history,event
final,event
main,building
tall,building
house,building
wide,range
long,range
full,range
offers,range
free,range
broad,range
vast,range
complete,range
early,stage
final,stage
reached,stage
retirement,stage
further,stage
annual,meeting
held,meeting
summit,meeting
emergency,meeting
called,meeting
arranged,meeting
adjourned,meeting
modern,art
contemporary,art
great,art
ancient,art
join,club
exclusive,club
put (someone's N around),arm
upper,arm
grabbed,arm
broken,arm
broke,arm
raised,arm
grasped,arm
family,history
medical,history
single,parent
elderly,parent
foster,parents
adoptive,parents
working,parents
single,parents
housing,land
held,land
open,land
work (verb),land
native,land
farming,land
waste,land
world,trade
foreign,trade
retail,trade
current,situation
present,situation
improve,situation
desperate,situation
remedy,situation
impossible,situation
intolerable,situation
former,teacher
primary (school),teacher
world,record
set the record,record
breaking,record
unbeaten,record
criminal,record
keeping,record
poor,record
impressive,record
held,record
achieved,record
bear,relation
close,relation
visual,field
front,window
back,window
smashed,window
rear,window
taken (into),account
opened,account
make,difference
big,difference
tell,difference
little,difference
see,difference
significant,difference
potential,difference
real,difference
fundamental,difference
marked (adj),difference
showed,difference
raw,material
building,materials
fresh,air
open,air
clean,air
clear,air
breathe,air
thick,air
heavy,air
second,wife
left + N,wife
former,wife
estranged,wife
whole,project
completed,project
complete,project
ambitious,project
run,project
retail,sales
increased,sales
record,sales
rose,sales
annual,sales
boost,sales
total,sales
direct,sales
potential,sales
expected,sales
close,relationship
loving,relationship
special,relationship
working,relationship
lasting,relationship
love,relationship
serious,relationship
direct,relationship
strong,relationship
establish,relationship
developed,relationship
inverse,relationship
causal,relationship
intimate,relationship
to end,relationship
see,relationship
public,relationship
maintain,relationship
bright,light
shed,light
natural,light
low,light
throw,light
switch (on/off),light
turned (on/off),light
strong,light
cast,light
flashing,light
soft,light
cold,light
shining,light
pale,light
full,light
fading,light
flickering,light
clear,light
take,care
medical,care
primary,care
private,care
home,care
nursing,care
provide,care
family,care
domiciliary,care
(as a) general,rule
golden,rule
established,rule
tell,story
true,story
full,story
main,story
real,story
big,story
high,quality
good,quality
top,quality
poor,quality
improve,quality
excellent,quality
air,quality
superb,quality
low,quality
total,quality
increases,tax
gross,tax
human,nature
N+ calls,nature
family,structure
collected,data
suggest,data
support,data
present,data
use,method
payment,method
effective,method
simple,method
alternative,method
traditional,method
adopted,method
applied,method
preferred,method
provide,method
family,unit
hospital,unit
get (into/out of/off the N),bed
lying,bed
double,bed
(four) poster,bed
go,bed
single,bed
make,bed
join,union
rights N,movement
greater,detail
(in) fine,detail
considerable,detail
sufficient,detail
further,detail
further,details
full,details
